nom,rs_icon,url,Latitude,Longitude
Belgique,telegram,https://t.me/+vXyhM9YVjzMyOTJk,50.890163106,4.337998648
OCCITANIE,telegram,https://t.me/collectifsunis31,43.648777,2.343575
PROVENCE-ALPES-CÔTE D&#8217;AZUR,telegram,https://t.me/+6nGU1MKqF1E1MTI0,44.0684127,5.991991
PAYS DE LA LOIRE,telegram,https://t.me/+UlH4Zr3yf5FjMmRk,47.6594864,-0.8186143
GRAND EST,telegram,https://t.me/+DwayRkLGjxBhYjc0,48.4845157,6.113035
CORSICA,telegram,https://t.me/+6nGU1MKqF1E1MTI0,42.188098,9.0683139
BRETAGNE,telegram,https://t.me/+2zyykrgSNYI4YmQ0,48.1964432,-2.9367658
NOUVELLE-AQUITAINE,telegram,https://t.me/+fFVATyvoOWowZjA0,45.6632281,0.1828847
HAUTS-DE-FRANCE,telegram,https://t.me/+07fmAOi30jA1ODhk,50.1024606,2.7247515
NORMANDIE,telegram,https://t.me/+NY521X2MIxxhNzQ0,49.0677708,0.3138532
CENTRE-VAL DE LOIRE,telegram,https://t.me/+jR9bqrSbZVdkM2E8,47.5490251,1.7324062
ÎLE-DE-FRANCE,telegram,https://t.me/retlIDF,48.6443057,2.7537863
BOURGOGNE-FRANCHE-COMTE,telegram,https://t.me/+VMgGJ5vZ9kFhMDRk,47.118711,4.9691044
AUVERGNE-RHÔNE-ALPES,telegram,https://t.me/+2ydXihH_ft43OWI8,45.296812,4.660481
60 - Oise,telegram,https://t.me/+EIr-ak1256wzZWFk,49.4117237,2.097008
95 - Val-d&#8217;Oise,signal,https://signal.group/#CjQKICU9VxuYI2wlx4_FAkNHfjNQ98ObGbcChxlEkuP32t5uEhAe-YnImNIkiP9h_vmWijhS,49.0749383,1.9367303
26 - Drôme,telegram,https://signal.group/#CjQKIAJn_eLVhE06JkDl2cj1vKML39Ik4S6InOMYQ1w4r4cZEhC_2sAmqGNFQkJMey7G3aVr,44.9234149,4.8957427
56 - Morbihan,telegram,https://t.me/+2zyykrgSNYI4YmQ0,47.7439325,-3.2154235
22 - Côtes d&#8217;Armor,telegram,https://t.me/indignonsnous22,48.4650949,-3.4117902
29 - Finistère,telegram,https://t.me/+U8b1aHTa_wdjN2I0,47.9480056,-4.2149711
Périgord Limousin,signal,https://signal.group/#CjQKIFYvfaowBQvDSse44uFXLAYN_wVaIXatHpa4zVgJbZcUEhCnsKjxuA7kO-i3R1xN0aWH,45.5852583,0.9997565
90 - Territoire de Belfort,facebookg,https://www.facebook.com/groups/746638358272365/,47.6401842,6.914931
72 - Sarthe,telegram,https://t.me/+hh9tPqdATphiZjE8,48.007383,0.196778
44 - Loire-Atlantique,telegram,https://t.me/+UlH4Zr3yf5FjMmRk,47.218644,-1.554139
86 - Vienne,telegram,https://t.me/+-Qz5dhr_0cYxODNk,46.5886523,0.4470267
85 - Vendée,telegram,https://t.me/+_plGCEAGAnZlYmQ8,46.6753632,-1.7997093
53 - Mayenne,telegram,https://t.me/+a8Tv2s6foOxhNzE0,48.3066306,-0.6346414
49 - Maine-et-Loire,telegram,https://t.me/+sH1EnfLBhMY4M2M0,47.3889647,-0.890123
12 - Aveyron,telegram,https://t.me/+q3dsx7KFvWI4Yjk0,44.315858,2.50657
